,heatingType,newlyConst,balcony,pricetrend,yearConstructed,hasKitchen,cellar,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,thermalChar,floor,garden,city,SizePerRoom
212698,central_heating,False,False,5.93,1951.0,False,True,65.9,well_kept,simple,unknown,False,apartment,56841,2.0,94.0,2.0,False,Bernkastel_Wittlich_Kreis,32.95
13036,self_contained_central_heating,False,False,10.11,1895.0,True,True,54.77,unknown,normal,unknown,False,apartment,13088,2.0,80.0,3.0,False,Berlin,27.385
68238,unknown,False,False,1.82,1928.0,False,True,46.79,unknown,unknown,unknown,False,unknown,6231,2.0,106.69,1.0,False,Saalekreis,23.395
236771,unknown,False,True,-0.2,1894.0,False,True,64.61,unknown,normal,unknown,False,apartment,9131,3.0,87.0,3.0,False,Chemnitz,21.536666666666665
261504,central_heating,False,True,5.97,1967.0,False,True,83.0,well_kept,normal,negotiable,True,apartment,33100,4.0,212.4,2.0,False,Paderborn_Kreis,20.75
256726,central_heating,False,True,5.27,1973.0,True,True,100.0,unknown,unknown,unknown,False,terraced_flat,85540,3.0,192.0,2.0,False,München_Kreis,33.333333333333336
3761,central_heating,False,False,0.97,1906.0,False,True,73.0,unknown,unknown,unknown,False,ground_floor,8280,3.0,244.6,0.0,True,Erzgebirgskreis,24.333333333333332
157975,floor_heating,False,True,4.23,2018.0,False,True,70.76,first_time_use,unknown,negotiable,True,apartment,4317,2.0,46.0,4.0,False,Leipzig,35.38
33876,central_heating,False,True,2.65,1963.0,False,True,70.56,unknown,unknown,unknown,False,unknown,27580,2.0,134.4,0.0,False,Bremerhaven,35.28
108466,central_heating,False,False,3.26,1910.0,False,True,125.19,well_kept,normal,unknown,False,apartment,99423,3.0,119.0,2.0,True,Weimar,41.73
226050,district_heating,False,False,4.62,1967.0,False,False,47.0,unknown,unknown,unknown,False,unknown,4277,2.0,91.2,4.0,False,Leipzig,23.5
75049,district_heating,False,True,2.41,1962.0,False,False,58.46,unknown,unknown,unknown,False,apartment,46562,2.5,118.0,2.0,False,Wesel_Kreis,23.384
122243,central_heating,False,True,7.07,1900.0,True,True,82.0,well_kept,normal,no,False,apartment,10779,3.0,162.9,3.0,False,Berlin,27.333333333333332
197411,central_heating,False,True,4.82,1969.0,True,True,53.61,unknown,unknown,unknown,False,apartment,22851,2.0,129.3,1.0,False,Segeberg_Kreis,26.805
